# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-   RAM 0 vEst-0-Real  -| |-   RAM 0 vEst-0-Imag  -| |-   RAM 1 vEst-0-Real  -| |-   RAM 1 vEst-0-Imag  -| |-   RAM 0 mean-0-Real  -| |-   RAM 0 mean-0-Imag  -| |-   RAM 1 mean-0-Real  -| |-   RAM 1 mean-0-Imag  -| |- RAM eValue SD-0-Real -| |- RAM eValue SD-0-Imag -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |- RAM eValue SD-1-Real -| |- RAM eValue SD-1-Imag -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       
   0.33333      0.0088178    0             0.33333      -0           0             0.33333      -0.044846    0             0.33333      0            0             0.33333      0.0088178     0.33333      -0            0.33333      -0.044846     0.33333      0             0.33333      0.0088178     0.33333      -0            0.33333      -0.044846     0.33333      0             3.0207E+07   0             3.0207E+07   0             3.0207E+07   0.99695      0             3.0207E+07   -0           0             3.0207E+07   0             3.0207E+07   0             3.0207E+07   0.97238      0             3.0207E+07   -0           0             3.0207E+07   0             
   9            0.086153     0             9            -0           0             9            -0.18815     0             9            0            0             9            0.086153      9            -0            9            -0.18815      9            0             9            0.086153      9            -0            9            -0.18815      9            0             
   9.6667       0.091507     0             9.6667       -0           0             9.6667       -0.17595     0             9.6667       0            0             9.6667       0.091507      9.6667       -0            9.6667       -0.17595      9.6667       0             9.6667       0.091507      9.6667       -0            9.6667       -0.17595      9.6667       0             
   10.333       0.096638     0             10.333       -0           0             10.333       -0.15674     0             10.333       0            0             10.333       0.096638      10.333       -0            10.333       -0.15674      10.333       0             10.333       0.096638      10.333       -0            10.333       -0.15674      10.333       0             
   11           0.1026       0             11           -0           0             11           -0.13013     0             11           0            0             11           0.1026        11           -0            11           -0.13013      11           0             11           0.1026        11           -0            11           -0.13013      11           0             
   11.667       0.10913      0             11.667       -0           0             11.667       -0.10149     0             11.667       0            0             11.667       0.10913       11.667       -0            11.667       -0.10149      11.667       0             11.667       0.10913       11.667       -0            11.667       -0.10149      11.667       0             
   12.333       0.11515      0             12.333       -0           0             12.333       -0.071716    0             12.333       0            0             12.333       0.11515       12.333       -0            12.333       -0.071716     12.333       0             12.333       0.11515       12.333       -0            12.333       -0.071716     12.333       0             
   13           0.12134      0             13           -0           0             13           -0.041908    0             13           0            0             13           0.12134       13           -0            13           -0.041908     13           0             13           0.12134       13           -0            13           -0.041908     13           0             
   13.667       0.12622      0             13.667       -0           0             13.667       -0.017544    0             13.667       0            0             13.667       0.12622       13.667       -0            13.667       -0.017544     13.667       0             13.667       0.12622       13.667       -0            13.667       -0.017544     13.667       0             
   14.333       0.13116      0             14.333       -0           0             14.333       0.0066759    0             14.333       -0           0             14.333       0.13116       14.333       -0            14.333       0.0066759     14.333       -0            14.333       0.13116       14.333       -0            14.333       0.0066759     14.333       -0            
   15           0.13449      0             15           -0           0             15           0.024626     0             15           -0           0             15           0.13449       15           -0            15           0.024626      15           -0            15           0.13449       15           -0            15           0.024626      15           -0            
   15.667       0.13794      0             15.667       -0           0             15.667       0.041062     0             15.667       -0           0             15.667       0.13794       15.667       -0            15.667       0.041062      15.667       -0            15.667       0.13794       15.667       -0            15.667       0.041062      15.667       -0            
   16.333       0.13967      0             16.333       -0           0             16.333       0.051924     0             16.333       -0           0             16.333       0.13967       16.333       -0            16.333       0.051924      16.333       -0            16.333       0.13967       16.333       -0            16.333       0.051924      16.333       -0            
   17           0.14226      0             17           -0           0             17           0.062415     0             17           -0           0             17           0.14226       17           -0            17           0.062415      17           -0            17           0.14226       17           -0            17           0.062415      17           -0            
   17.667       0.14361      0             17.667       -0           0             17.667       0.067814     0             17.667       -0           0             17.667       0.14361       17.667       -0            17.667       0.067814      17.667       -0            17.667       0.14361       17.667       -0            17.667       0.067814      17.667       -0            
   18.333       0.14513      0             18.333       -0           0             18.333       0.075683     0             18.333       -0           0             18.333       0.14513       18.333       -0            18.333       0.075683      18.333       -0            18.333       0.14513       18.333       -0            18.333       0.075683      18.333       -0            
   19           0.14648      0             19           -0           0             19           0.078736     0             19           -0           0             19           0.14648       19           -0            19           0.078736      19           -0            19           0.14648       19           -0            19           0.078736      19           -0            
