# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --numValues 2 --inactive 2 --incycles 20 --storevectors 0 --width 50 --tol 2.22045e-16\n --arnoldimethod explicit --power --relaxed 0.1 --residual --active 50 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 10 --bins 75 -r --tracks 1000000 -f RelaxedTracks/50mfp.t1000000.dat  seed = 2947104327
# filename = RelaxedTracks/50mfp.t1000000.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 50, inactive = 2, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   19           0.13112      0.0056147     19           -0           0             19           0.088175     0.0089707     19           -0           0             9.9817E+07   0.019892      9.9817E+07   0             9.9817E+07   0.9959       0.00034009    9.9817E+07   -0           0             9.9817E+07   0.98117      0.00064163    9.9817E+07   -0           0             
   19.667       0.13456      0.005295      19.667       -0           0             19.667       0.09683      0.0083755     19.667       -0           0             1.028E+08    0.015867      1.028E+08    0             1.028E+08    0.99588      0.00032875    1.028E+08    -0           0             1.028E+08    0.98142      0.0006649     1.028E+08    -0           0             
   20.333       0.13862      0.0049973     20.333       -0           0             20.333       0.10473      0.0079526     20.333       -0           0             1.056E+08    0.0027867     1.056E+08    0             1.056E+08    0.996        0.00033727    1.056E+08    -0           0             1.056E+08    0.98158      0.00066109    1.056E+08    -0           0             
   21           0.14192      0.0045714     21           -0           0             21           0.11108      0.0075141     21           -0           0             1.0867E+08   0.0043174     1.0867E+08   0             1.0867E+08   0.99607      0.00033382    1.0867E+08   -0           0             1.0867E+08   0.98185      0.00069479    1.0867E+08   -0           0             
   21.667       0.14496      0.0041597     21.667       -0           0             21.667       0.11673      0.0072979     21.667       -0           0             1.1148E+08   0.006741      1.1148E+08   0             1.1148E+08   0.99602      0.00032645    1.1148E+08   -0           0             1.1148E+08   0.98206      0.00070273    1.1148E+08   -0           0             
   22.333       0.1477       0.0037963     22.333       -0           0             22.333       0.12125      0.0070092     22.333       -0           0             1.1432E+08   0.0051312     1.1432E+08   0             1.1432E+08   0.99611      0.00032804    1.1432E+08   -0           0             1.1432E+08   0.98227      0.00070949    1.1432E+08   -0           0             
   23           0.15033      0.0034013     23           -0           0             23           0.12394      0.0069522     23           -0           0             1.1697E+08   0.0049339     1.1697E+08   0             1.1697E+08   0.99614      0.00031988    1.1697E+08   -0           0             1.1697E+08   0.98232      0.0006904     1.1697E+08   -0           0             
   23.667       0.15285      0.0030765     23.667       -0           0             23.667       0.1247       0.0071841     23.667       -0           0             1.1971E+08   0.0053712     1.1971E+08   0             1.1971E+08   0.9961       0.00031345    1.1971E+08   -0           0             1.1971E+08   0.98241      0.00067573    1.1971E+08   -0           0             
   24.333       0.15462      0.0028825     24.333       -0           0             24.333       0.12403      0.0072076     24.333       -0           0             1.2262E+08   0.0027839     1.2262E+08   0             1.2262E+08   0.99611      0.00030481    1.2262E+08   -0           0             1.2262E+08   0.98225      0.00067559    1.2262E+08   -0           0             
   25           0.15668      0.0026011     25           -0           0             25           0.12104      0.0074761     25           -0           0             1.2567E+08   0.0012498     1.2567E+08   0             1.2567E+08   0.99622      0.00031243    1.2567E+08   -0           0             1.2567E+08   0.98212      0.00067009    1.2567E+08   -0           0             
