# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 50 -f Bins/50mfp/50mfp.b50.dat , seed = 311202460
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b50.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 50, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4             5            6             7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44            45           46           
# |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   20.5         0.184162      20.5         0             20.5         0.0951537     20.5         0             20.5         -0.13163      20.5         0             3.15E+08     0.996958     0.000193079   3.15E+08     0            0             3.15E+08     0.997715      3.15E+08     0             3.15E+08     0.989106     0.000313478   3.15E+08     0            0             3.15E+08     0.989974      3.15E+08     0             3.15E+08     0.975636     0.000164588   3.15E+08     0            0             3.15E+08     0.975436      3.15E+08     0             3.15E+08     1694.22       4.65E+08     13747.7       
   21.5         0.185947      21.5         0             21.5         0.0739472     21.5         0             21.5         -0.155128     21.5         0             3.3E+08      0.996946     0.000177379   3.3E+08      0            0             3.3E+08      0.996811      3.3E+08      0             3.3E+08      0.989119     0.000287651   3.3E+08      0            0             3.3E+08      0.989269      3.3E+08      0             3.3E+08      0.975818     0.000230346   3.3E+08      0            0             3.3E+08      0.977818      3.3E+08      0             3.3E+08      1774.66       4.8E+08      13446.7       
   22.5         0.188243      22.5         0             22.5         0.0514023     22.5         0             22.5         -0.173175     22.5         0             3.45E+08     0.996936     0.000164024   3.45E+08     0            0             3.45E+08     0.996814      3.45E+08     0             3.45E+08     0.989165     0.000269061   3.45E+08     0            0             3.45E+08     0.989708      3.45E+08     0             3.45E+08     0.975712     0.000235854   3.45E+08     0            0             3.45E+08     0.974437      3.45E+08     0             3.45E+08     1855.33       4.95E+08     14253.4       
   23.5         0.18972       23.5         0             23.5         0.02851       23.5         0             23.5         -0.186368     23.5         0             3.6E+08      0.997035     0.000180077   3.6E+08      0            0             3.6E+08      0.998331      3.6E+08      0             3.6E+08      0.989173     0.000249979   3.6E+08      0            0             3.6E+08      0.989285      3.6E+08      0             3.6E+08      0.975717     0.000219066   3.6E+08      0            0             3.6E+08      0.975786      3.6E+08      0             3.6E+08      1936.09       5.1E+08      14982.8       
   24.5         0.190186      24.5         0             24.5         0.00512669    24.5         0             24.5         -0.193274     24.5         0             3.75E+08     0.997041     0.000168165   3.75E+08     0            0             3.75E+08     0.997122      3.75E+08     0             3.75E+08     0.989142     0.00023521    3.75E+08     0            0             3.75E+08     0.98871       3.75E+08     0             3.75E+08     0.975739     0.000205528   3.75E+08     0            0             3.75E+08     0.976042      3.75E+08     0             3.75E+08     2016.69       5.25E+08     15506.5       
   25.5         0.191103      25.5         0             25.5         -0.0183053    25.5         0             25.5         -0.194198     25.5         0             3.9E+08      0.997126     0.000177812   3.9E+08      0            0             3.9E+08      0.9984        3.9E+08      0             3.9E+08      0.988981     0.000269988   3.9E+08      0            0             3.9E+08      0.986568      3.9E+08      0             3.9E+08      0.975682     0.000200435   3.9E+08      0            0             3.9E+08      0.974827      3.9E+08      0             3.9E+08      2097.61       5.4E+08      15731.3       
   26.5         0.189836      26.5         0             26.5         -0.0417381    26.5         0             26.5         -0.187201     26.5         0             4.05E+08     0.99712      0.000167438   4.05E+08     0            0             4.05E+08     0.997032      4.05E+08     0             4.05E+08     0.988965     0.000254591   4.05E+08     0            0             4.05E+08     0.988706      4.05E+08     0             4.05E+08     0.975776     0.000209606   4.05E+08     0            0             4.05E+08     0.977283      4.05E+08     0             4.05E+08     2178.62       5.55E+08     14181         
   27.5         0.188864      27.5         0             27.5         -0.0638856    27.5         0             27.5         -0.174316     27.5         0             4.2E+08      0.997184     0.000169882   4.2E+08      0            0             4.2E+08      0.99827       4.2E+08      0             4.2E+08      0.988984     0.000241155   4.2E+08      0            0             4.2E+08      0.989307      4.2E+08      0             4.2E+08      0.975801     0.000199387   4.2E+08      0            0             4.2E+08      0.976217      4.2E+08      0             4.2E+08      2259.19       5.7E+08      14609.1       
   28.5         0.187641      28.5         0             28.5         -0.0853516    28.5         0             28.5         -0.156573     28.5         0             4.35E+08     0.997116     0.000174035   4.35E+08     0            0             4.35E+08     0.995891      4.35E+08     0             4.35E+08     0.989016     0.000230543   4.35E+08     0            0             4.35E+08     0.989587      4.35E+08     0             4.35E+08     0.975694     0.000215406   4.35E+08     0            0             4.35E+08     0.97378       4.35E+08     0             4.35E+08     2339.49       5.85E+08     14670.8       
   29.5         0.185731      29.5         0             29.5         -0.105576     29.5         0             29.5         -0.132913     29.5         0             4.5E+08      0.997049     0.000177934   4.5E+08      0            0             4.5E+08      0.995767      4.5E+08      0             4.5E+08      0.988951     0.000228052   4.5E+08      0            0             4.5E+08      0.987712      4.5E+08      0             4.5E+08      0.975723     0.000206589   4.5E+08      0            0             4.5E+08      0.976276      4.5E+08      0             4.5E+08      2420.01       6E+08        15305.5       
