# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 60 -f Bins/20mfp-BetterStats/Linear/20mfp.b60.dat , seed = 2044065133
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b60.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 60, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   3.2E+07      4.8158       0             3.2E+07      0            0             3.2E+07      4.36909      0             3.2E+07      0            0             3.2E+07      3.80448      0             3.2E+07      0            0             8.2E+07      114.351       5.33333      0.0577111     5.33333      -0.0457963    5.33333      -0.0152132    
   3.3E+07      4.82603      0             3.3E+07      0            0             3.3E+07      4.38198      0             3.3E+07      0            0             3.3E+07      3.79665      0             3.3E+07      0            0             8.3E+07      117.626       5.33333      0.0576428     5.33333      -0.0458054    5.33333      -0.0151261    
   3.4E+07      4.82184      0             3.4E+07      0            0             3.4E+07      4.38754      0             3.4E+07      0            0             3.4E+07      3.78262      0             3.4E+07      0            0             8.4E+07      121.512       5.66667      0.0598986     5.66667      -0.0447028    5.66667      -0.0107389    
   3.5E+07      4.82567      0             3.5E+07      0            0             3.5E+07      4.41114      0             3.5E+07      0            0             3.5E+07      3.79694      0             3.5E+07      0            0             8.5E+07      122.738       5.66667      0.0599292     5.66667      -0.0447616    5.66667      -0.0108122    
   3.6E+07      4.81832      0             3.6E+07      0            0             3.6E+07      4.42106      0             3.6E+07      0            0             3.6E+07      3.77649      0             3.6E+07      0            0             8.6E+07      127.68        6            0.0619405     6            -0.0431592    6            -0.0061755    
   3.7E+07      4.82251      0             3.7E+07      0            0             3.7E+07      4.37265      0             3.7E+07      0            0             3.7E+07      3.78465      0             3.7E+07      0            0             8.7E+07      133.202       6            0.0619625     6            -0.0431727    6            -0.00615524   
   3.8E+07      4.82809      0             3.8E+07      0            0             3.8E+07      4.36985      0             3.8E+07      0            0             3.8E+07      3.8153       0             3.8E+07      0            0             8.8E+07      138.864       6.33333      0.0639292     6.33333      -0.041217     6.33333      -0.00154227   
   3.9E+07      4.83306      0             3.9E+07      0            0             3.9E+07      4.4175       0             3.9E+07      0            0             3.9E+07      3.85082      0             3.9E+07      0            0             8.9E+07      137.581       6.33333      0.063833      6.33333      -0.0411796    6.33333      -0.00155352   
   4E+07        4.8378       0             4E+07        0            0             4E+07        4.37141      0             4E+07        0            0             4E+07        3.80894      0             4E+07        0            0             9E+07        143.04        6.66667      0.0657215     6.66667      -0.0389085    6.66667      0.00326411    
   4.1E+07      4.83264      0             4.1E+07      0            0             4.1E+07      4.37707      0             4.1E+07      0            0             4.1E+07      3.82086      0             4.1E+07      0            0             9.1E+07      148.475       6.66667      0.0657243     6.66667      -0.0389127    6.66667      0.00329107    
   4.2E+07      4.83472      0             4.2E+07      0            0             4.2E+07      4.35843      0             4.2E+07      0            0             4.2E+07      3.77849      0             4.2E+07      0            0             9.2E+07      153.993       7            0.0674        7            -0.036173     7            0.00785245    
   4.3E+07      4.83356      0             4.3E+07      0            0             4.3E+07      4.39183      0             4.3E+07      0            0             4.3E+07      3.84308      0             4.3E+07      0            0             9.3E+07      155.894       7            0.0672885     7            -0.0362028    7            0.00791889    
   4.4E+07      4.84924      0             4.4E+07      0            0             4.4E+07      4.36929      0             4.4E+07      0            0             4.4E+07      3.82575      0             4.4E+07      0            0             9.4E+07      158.789       7.33333      0.0688565     7.33333      -0.0330785    7.33333      0.0124405     
   4.5E+07      4.81552      0             4.5E+07      0            0             4.5E+07      4.35292      0             4.5E+07      0            0             4.5E+07      3.77956      0             4.5E+07      0            0             9.5E+07      163.928       7.33333      0.0688061     7.33333      -0.0330569    7.33333      0.0123787     
   4.6E+07      4.81554      0             4.6E+07      0            0             4.6E+07      4.40012      0             4.6E+07      0            0             4.6E+07      3.77253      0             4.6E+07      0            0             9.6E+07      169.439       7.66667      0.0701043     7.66667      -0.0297648    7.66667      0.0167202     
   4.7E+07      4.83057      0             4.7E+07      0            0             4.7E+07      4.38426      0             4.7E+07      0            0             4.7E+07      3.79065      0             4.7E+07      0            0             9.7E+07      160.689       7.66667      0.0700532     7.66667      -0.0297319    7.66667      0.0166697     
   4.8E+07      4.80241      0             4.8E+07      0            0             4.8E+07      4.40087      0             4.8E+07      0            0             4.8E+07      3.83132      0             4.8E+07      0            0             9.8E+07      158.623       8            0.0712868     8            -0.0260238    8            0.0205771     
   4.9E+07      4.82938      0             4.9E+07      0            0             4.9E+07      4.37845      0             4.9E+07      0            0             4.9E+07      3.82292      0             4.9E+07      0            0             9.9E+07      157.31        8            0.0713304     8            -0.0260558    8            0.0206957     
   5E+07        4.83489      0             5E+07        0            0             5E+07        4.38288      0             5E+07        0            0             5E+07        3.78767      0             5E+07        0            0             1E+08        162.06        8.33333      0.0721753     8.33333      -0.022025     8.33333      0.0239418     
   5.1E+07      4.83401      0             5.1E+07      0            0             5.1E+07      4.38411      0             5.1E+07      0            0             5.1E+07      3.82418      0             5.1E+07      0            0             1.01E+08     164.136       8.33333      0.0722383     8.33333      -0.022075     8.33333      0.0239689     
   5.2E+07      4.83547      0.00103379    5.2E+07      0            0             5.2E+07      4.37582      0.00585887    5.2E+07      0            0             5.2E+07      3.8312       0.00496194    5.2E+07      0            0             1.02E+08     168.732       8.66667      0.0729646     8.66667      -0.017975     8.66667      0.0268454     
   5.3E+07      4.83739      0.00170953    5.3E+07      0            0             5.3E+07      4.37487      0.0039832     5.3E+07      0            0             5.3E+07      3.82821      0.00411196    5.3E+07      0            0             1.03E+08     164.283       8.66667      0.0729267     8.66667      -0.0179002    8.66667      0.0267728     
   5.4E+07      4.8375       0.00128549    5.4E+07      0            0             5.4E+07      4.37706      0.00354266    5.4E+07      0            0             5.4E+07      3.83444      0.00621334    5.4E+07      0            0             1.04E+08     163.451       9            0.07355       9            -0.0136578    9            0.0292319     
   5.5E+07      4.83431      0.00302822    5.5E+07      0            0             5.5E+07      4.37728      0.00284067    5.5E+07      0            0             5.5E+07      3.84128      0.00788535    5.5E+07      0            0             1.05E+08     167.655       9            0.0735367     9            -0.0136341    9            0.0291465     
   5.6E+07      4.8358       0.00286739    5.6E+07      0            0             5.6E+07      4.37688      0.00239458    5.6E+07      0            0             5.6E+07      3.83843      0.0070679     5.6E+07      0            0             1.06E+08     170.028       9.33333      0.0739623     9.33333      -0.00915505   9.33333      0.03086       
   5.7E+07      4.83708      0.00272774    5.7E+07      0            0             5.7E+07      4.3729       0.0042184     5.7E+07      0            0             5.7E+07      3.83806      0.00606807    5.7E+07      0            0             1.07E+08     174.164       9.33333      0.0739774     9.33333      -0.00913363   9.33333      0.0308048     
   5.8E+07      4.83868      0.00281647    5.8E+07      0            0             5.8E+07      4.37468      0.00404716    5.8E+07      0            0             5.8E+07      3.84042      0.00575247    5.8E+07      0            0             1.08E+08     177.252       9.66667      0.0742244     9.66667      -0.00473913   9.66667      0.0320087     
   5.9E+07      4.83922      0.00255388    5.9E+07      0            0             5.9E+07      4.3752       0.00363129    5.9E+07      0            0             5.9E+07      3.83774      0.00570385    5.9E+07      0            0             1.09E+08     179.489       9.66667      0.0742739     9.66667      -0.00462014   9.66667      0.0318392     
   6E+07        4.84012      0.00245472    6E+07        0            0             6E+07        4.37528      0.00326896    6E+07        0            0             6E+07        3.84048      0.0057517     6E+07        0            0             1.1E+08      183.872       10           0.0743455     10           -0.000165492  10           0.0323116     
   6.1E+07      4.8398       0.00225332    6.1E+07      0            0             6.1E+07      4.37337      0.00348717    6.1E+07      0            0             6.1E+07      3.841        0.00525315    6.1E+07      0            0             1.11E+08     185.155       10           0.0743573     10           -0.000141971  10           0.0322136     
   6.2E+07      4.83792      0.00273976    6.2E+07      0            0             6.2E+07      4.37514      0.00361903    6.2E+07      0            0             6.2E+07      3.83759      0.00582181    6.2E+07      0            0             1.12E+08     188.799       10.3333      0.0742778     10.3333      0.00447148    10.3333      0.0318391     
   6.3E+07      4.83706      0.00265803    6.3E+07      0            0             6.3E+07      4.37716      0.00386313    6.3E+07      0            0             6.3E+07      3.83405      0.00635717    6.3E+07      0            0             1.13E+08     189.884       10.3333      0.0742607     10.3333      0.00448471    10.3333      0.0318101     
   6.4E+07      4.83648      0.00253256    6.4E+07      0            0             6.4E+07      4.37702      0.00358965    6.4E+07      0            0             6.4E+07      3.83077      0.00669615    6.4E+07      0            0             1.14E+08     194.197       10.6667      0.073929      10.6667      0.00901621    10.6667      0.0307922     
   6.5E+07      4.83583      0.00244342    6.5E+07      0            0             6.5E+07      4.37734      0.00336487    6.5E+07      0            0             6.5E+07      3.83348      0.00677364    6.5E+07      0            0             1.15E+08     197.243       10.6667      0.0739629     10.6667      0.00898815    10.6667      0.0307787     
   6.6E+07      4.83432      0.00272129    6.6E+07      0            0             6.6E+07      4.37801      0.00322085    6.6E+07      0            0             6.6E+07      3.83101      0.00678344    6.6E+07      0            0             1.16E+08     200.903       11           0.0735682     11           0.0134827     11           0.0291695     
