# This file was created by gnuFile.py version  $Revision: 632 $ on Tue Jul 28 01:19:16 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ ProcessVectors.py 20
# This data was taken from the files: ArnoldiBasic-w20.dat, PowerBasic-w20.dat, OUTSN-w20.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10           
# |-          SN          -| |-      Arnoldi-2       -| |-      Arnoldi-1       -| |-      Arnoldi-0       -| |-        Power         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   4.3          0.67023       5.7333       0.30755       5.7333       0.94954       5.7333       0.81535       5.7333       0.81123      
   4.5          0.69175       6            0.19435       6            0.9207        6            0.83939       6            0.83441      
   4.7          0.71263       6.2667       0.077092      6.2667       0.88569       6.2667       0.85715       6.2667       0.85602      
   4.9          0.73292       6.5333       -0.041604     6.5333       0.84855       6.5333       0.87712       6.5333       0.87516      
   5.1          0.75257       6.8          -0.15988      6.8          0.80423       6.8          0.89665       6.8          0.8946       
   5.3          0.77159       7.0667       -0.27199      7.0667       0.75629       7.0667       0.91362       7.0667       0.91131      
   5.5          0.7899        7.3333       -0.38649      7.3333       0.70308       7.3333       0.92791       7.3333       0.92648      
   5.7          0.80759       7.6          -0.4922       7.6          0.64274       7.6          0.94283       7.6          0.93891      
   5.9          0.82454       7.8667       -0.59122      7.8667       0.58103       7.8667       0.9544        7.8667       0.95137      
   6.1          0.84078       8.1333       -0.68179      8.1333       0.51511       8.1333       0.96552       8.1333       0.96311      
   6.3          0.85633       8.4          -0.76346      8.4          0.44542       8.4          0.97433       8.4          0.97454      
   6.5          0.87111       8.6667       -0.82974      8.6667       0.37263       8.6667       0.98105       8.6667       0.98094      
   6.7          0.88516       8.9333       -0.89226      8.9333       0.29925       8.9333       0.98976       8.9333       0.98939      
   6.9          0.89844       9.2          -0.9368       9.2          0.22356       9.2          0.99175       9.2          0.99332      
   7.1          0.91095       9.4667       -0.97151      9.4667       0.14747       9.4667       0.99715       9.4667       0.99739      
   7.3          0.92266       9.7333       -0.99604      9.7333       0.06886       9.7333       1             9.7333       0.99984      
   7.5          0.93357       10           -1.0003       10           -0.010719     10           0.99999       10           1            
   7.7          0.94371       10.267       -0.98912      10.267       -0.088191     10.267       0.99652       10.267       0.99848      
   7.9          0.95302       10.533       -0.97149      10.533       -0.16432      10.533       0.997         10.533       0.99539      
   8.1          0.9615        10.8         -0.93656      10.8         -0.2423       10.8         0.99222       10.8         0.99113      
   8.3          0.96917       11.067       -0.89086      11.067       -0.3152       11.067       0.98957       11.067       0.98533      
   8.5          0.97601       11.333       -0.8315       11.333       -0.39052      11.333       0.98477       11.333       0.97906      
   8.7          0.98198       11.6         -0.76052      11.6         -0.46028      11.6         0.9749        11.6         0.97146      
   8.9          0.98712       11.867       -0.68047      11.867       -0.52837      11.867       0.96767       11.867       0.95952      
   9.1          0.99143       12.133       -0.58775      12.133       -0.59444      12.133       0.9573        12.133       0.95008      
   9.3          0.99486       12.4         -0.48674      12.4         -0.65588      12.4         0.94258       12.4         0.93738      
   9.5          0.99743       12.667       -0.3816       12.667       -0.71366      12.667       0.92855       12.667       0.92274      
   9.7          0.99917       12.933       -0.26978      12.933       -0.76148      12.933       0.91301       12.933       0.90679      
   9.9          1             13.2         -0.15368      13.2         -0.80927      13.2         0.89593       13.2         0.89054      
   10.3         0.99917       13.467       -0.038848     13.467       -0.85481      13.467       0.8795        13.467       0.8714       
   10.5         0.99743       13.733       0.07736       13.733       -0.89136      13.733       0.85883       13.733       0.85203      
   10.7         0.99486       14           0.19383       14           -0.92329      14           0.83798       14           0.83054      
   10.9         0.99143       14.267       0.30763       14.267       -0.95125      14.267       0.81586       14.267       0.80711      
   11.1         0.98712       14.533       0.41708       14.533       -0.97302      14.533       0.79126       14.533       0.78494      
   11.3         0.98198       14.8         0.52371       14.8         -0.98878      14.8         0.77034       14.8         0.76101      
   11.5         0.97601       15.067       0.61866       15.067       -0.99875      15.067       0.74347       15.067       0.7341       
   11.7         0.96917       15.333       0.70678       15.333       -1.002        15.333       0.71777       15.333       0.7077       
   11.9         0.9615        15.6         0.785         15.6         -0.99433      15.6         0.68787       15.6         0.67884      
   12.1         0.95302       15.867       0.85265       15.867       -0.98761      15.867       0.65712       15.867       0.65016      
   12.3         0.94371       16.133       0.90914       16.133       -0.97193      16.133       0.62903       16.133       0.62127      
   12.5         0.93357       16.4         0.95226       16.4         -0.95108      16.4         0.59612       16.4         0.58885      
   12.7         0.92266       16.667       0.98056       16.667       -0.927        16.667       0.56477       16.667       0.55598      
   12.9         0.91095       16.933       0.9984        16.933       -0.8947       16.933       0.53306       16.933       0.5244       
   13.1         0.89844       17.2         0.99975       17.2         -0.85464      17.2         0.50062       17.2         0.49093      
   13.3         0.88516       17.467       0.98507       17.467       -0.81323      17.467       0.4639        17.467       0.45546      
   13.5         0.87111       17.733       0.96045       17.733       -0.7625       17.733       0.42659       17.733       0.42045      
   13.7         0.85633       18           0.92167       18           -0.70946      18           0.39138       18           0.38493      
   13.9         0.84078       18.267       0.87093       18.267       -0.65169      18.267       0.35512       18.267       0.34902      
   14.1         0.82454       18.533       0.80683       18.533       -0.59043      18.533       0.31531       18.533       0.31085      
   14.3         0.80759       18.8         0.73001       18.8         -0.52388      18.8         0.27638       18.8         0.27289      
   14.5         0.7899        19.067       0.64399       19.067       -0.45393      19.067       0.23965       19.067       0.23613      
   14.7         0.77159       19.333       0.54783       19.333       -0.38278      19.333       0.1981        19.333       0.19573      
   14.9         0.75257       19.6         0.43857       19.6         -0.30517      19.6         0.15583       19.6         0.15501      
   15.1         0.73292       19.867       0.31461       19.867       -0.21811      19.867       0.11099       19.867       0.11087      
   15.3         0.71263                                                                                                                  
   15.5         0.69175                                                                                                                  
   15.7         0.67023                                                                                                                  
   15.9         0.64817                                                                                                                  
   16.1         0.62552                                                                                                                  
   16.3         0.60236                                                                                                                  
   16.5         0.57864                                                                                                                  
   16.7         0.55445                                                                                                                  
   16.9         0.52979                                                                                                                  
   17.1         0.50464                                                                                                                  
   17.3         0.47905                                                                                                                  
   17.5         0.45306                                                                                                                  
   17.7         0.42663                                                                                                                  
   17.9         0.39984                                                                                                                  
   18.1         0.37265                                                                                                                  
   18.3         0.34512                                                                                                                  
   18.5         0.31725                                                                                                                  
   18.7         0.28901                                                                                                                  
   18.9         0.2604                                                                                                                   
   19.1         0.23136                                                                                                                  
   19.3         0.20189                                                                                                                  
   19.5         0.17147                                                                                                                  
   19.7         0.14055                                                                                                                  
   19.9         0.1046                                                                                                                   
