# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 185 --seed 0 --bins 75 --run --relaxed 0.005 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r0.005.dat , seed =\n 2049380283
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.005, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r0.005.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 185, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   5.84628E+06  4.03256       1.81743E+08  0.998237     0             1.81743E+08  0            0             1.81743E+08  0.998237      1.81743E+08  0             1.81743E+08  0.989543     0             1.81743E+08  0            0             1.81743E+08  0.989543      1.81743E+08  0             1.81743E+08  0.978498     0             1.81743E+08  0            0             1.81743E+08  0.978498      1.81743E+08  0             1.81743E+08  575.754       1.03926E+09  8231.43       13.6667      0.126243      13.6667      0             13.6667      -0.156119     13.6667      0             13.6667      -0.0778308    13.6667      0             
   5.86289E+06  3.97802       1.91495E+08  0.997251     0             1.91495E+08  0            0             1.91495E+08  0.997251      1.91495E+08  0             1.91495E+08  0.990079     0             1.91495E+08  0            0             1.91495E+08  0.990079      1.91495E+08  0             1.91495E+08  0.975863     0             1.91495E+08  0            0             1.91495E+08  0.975863      1.91495E+08  0             1.91495E+08  606.6         1.04795E+09  8583.85       14.3333      0.130067      14.3333      0             14.3333      -0.152849     14.3333      0             14.3333      -0.0600909    14.3333      0             
   5.87556E+06  3.97483       2.00497E+08  0.99704      0             2.00497E+08  0            0             2.00497E+08  0.99704       2.00497E+08  0             2.00497E+08  0.989465     0             2.00497E+08  0            0             2.00497E+08  0.989465      2.00497E+08  0             2.00497E+08  0.978907     0             2.00497E+08  0            0             2.00497E+08  0.978907      2.00497E+08  0             2.00497E+08  634.916       1.05586E+09  9184.65       15           0.133551      15           0             15           -0.148999     15           0             15           -0.0413986    15           0             
   5.90449E+06  4.01721       2.08011E+08  0.998147     0             2.08011E+08  0            0             2.08011E+08  0.998147      2.08011E+08  0             2.08011E+08  0.990682     0             2.08011E+08  0            0             2.08011E+08  0.990682      2.08011E+08  0             2.08011E+08  0.976952     0             2.08011E+08  0            0             2.08011E+08  0.976952      2.08011E+08  0             2.08011E+08  658.7         1.06475E+09  9771.21       15.6667      0.136844      15.6667      0             15.6667      -0.143656     15.6667      0             15.6667      -0.0221309    15.6667      0             
   6.40449E+06  3.96425       2.17178E+08  0.998151     0             2.17178E+08  0            0             2.17178E+08  0.998151      2.17178E+08  0             2.17178E+08  0.988478     0             2.17178E+08  0            0             2.17178E+08  0.988478      2.17178E+08  0             2.17178E+08  0.977144     0             2.17178E+08  0            0             2.17178E+08  0.977144      2.17178E+08  0             2.17178E+08  687.455       1.07524E+09  10493.6       16.3333      0.139993      16.3333      0             16.3333      -0.137547     16.3333      0             16.3333      -0.00294788   16.3333      0             
   6.90449E+06  4.04285       2.23375E+08  0.999486     0             2.23375E+08  0            0             2.23375E+08  0.999486      2.23375E+08  0             2.23375E+08  0.989015     0             2.23375E+08  0            0             2.23375E+08  0.989015      2.23375E+08  0             2.23375E+08  0.978147     0             2.23375E+08  0            0             2.23375E+08  0.978147      2.23375E+08  0             2.23375E+08  707.082       1.08297E+09  8122.92       17           0.142668      17           0             17           -0.130472     17           0             17           0.016456      17           0             
   7.40449E+06  4.01051       2.31506E+08  0.996762     0             2.31506E+08  0            0             2.31506E+08  0.996762      2.31506E+08  0             2.31506E+08  0.989493     0             2.31506E+08  0            0             2.31506E+08  0.989493      2.31506E+08  0             2.31506E+08  0.979452     0             2.31506E+08  0            0             2.31506E+08  0.979452      2.31506E+08  0             2.31506E+08  732.641       1.09333E+09  8646.83       17.6667      0.145351      17.6667      0             17.6667      -0.122738     17.6667      0             17.6667      0.0356124     17.6667      0             
   7.90449E+06  3.97449       2.40497E+08  0.99672      0             2.40497E+08  0            0             2.40497E+08  0.99672       2.40497E+08  0             2.40497E+08  0.989681     0             2.40497E+08  0            0             2.40497E+08  0.989681      2.40497E+08  0             2.40497E+08  0.976247     0             2.40497E+08  0            0             2.40497E+08  0.976247      2.40497E+08  0             2.40497E+08  760.954       1.10255E+09  9050.29       18.3333      0.147774      18.3333      0             18.3333      -0.114155     18.3333      0             18.3333      0.0542509     18.3333      0             
   8.40449E+06  3.98999       2.49211E+08  0.997181     0             2.49211E+08  0            0             2.49211E+08  0.997181      2.49211E+08  0             2.49211E+08  0.991819     0             2.49211E+08  0            0             2.49211E+08  0.991819      2.49211E+08  0             2.49211E+08  0.975537     0             2.49211E+08  0            0             2.49211E+08  0.975537      2.49211E+08  0             2.49211E+08  788.604       1.11039E+09  9545.38       19           0.149914      19           0             19           -0.104633     19           0             19           0.0719817     19           0             
   8.90449E+06  3.99707       2.57289E+08  0.99743      0             2.57289E+08  0            0             2.57289E+08  0.99743       2.57289E+08  0             2.57289E+08  0.990584     0             2.57289E+08  0            0             2.57289E+08  0.990584      2.57289E+08  0             2.57289E+08  0.978491     0             2.57289E+08  0            0             2.57289E+08  0.978491      2.57289E+08  0             2.57289E+08  814.12        1.11896E+09  7432.07       19.6667      0.151892      19.6667      0             19.6667      -0.0945876    19.6667      0             19.6667      0.0888834     19.6667      0             
