# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b120.dat , seed =\n 33843582
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b120.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   4.9E+07      4.83255      0             4.9E+07      0            0             4.9E+07      4.36347      0             4.9E+07      0            0             4.9E+07      3.81435      0             4.9E+07      0            0             9.9E+07      524.833       8.08333      0.119722      8.08333      0             8.08333      0.0665385     8.08333      0             8.08333      0.0832268     8.08333      0             
   5E+07        4.85559      0             5E+07        0            0             5E+07        4.38541      0             5E+07        0            0             5E+07        3.83593      0             5E+07        0            0             1E+08        532.718       8.25         0.120653      8.25         0             8.25         0.0614855     8.25         0             8.25         0.0898245     8.25         0             
   5.1E+07      4.81847      0             5.1E+07      0            0             5.1E+07      4.39067      0             5.1E+07      0            0             5.1E+07      3.81347      0             5.1E+07      0            0             1.01E+08     544.351       8.41667      0.121376      8.41667      0             8.41667      0.0559062     8.41667      0             8.41667      0.0959168     8.41667      0             
   5.2E+07      4.82395      0.00387388    5.2E+07      0            0             5.2E+07      4.38697      0.00261714    5.2E+07      0            0             5.2E+07      3.82201      0.00603483    5.2E+07      0            0             1.02E+08     559.972       8.58333      0.121928      8.58333      0             8.58333      0.0502995     8.58333      0             8.58333      0.10157       8.58333      0             
   5.3E+07      4.82885      0.00475713    5.3E+07      0            0             5.3E+07      4.38474      0.00251911    5.3E+07      0            0             5.3E+07      3.81709      0.0056818     5.3E+07      0            0             1.03E+08     573.356       8.75         0.122621      8.75         0             8.75         0.0446421     8.75         0             8.75         0.106824      8.75         0             
   5.4E+07      4.82908      0.00357361    5.4E+07      0            0             5.4E+07      4.38166      0.00326952    5.4E+07      0            0             5.4E+07      3.81134      0.0065536     5.4E+07      0            0             1.04E+08     579.781       8.91667      0.123185      8.91667      0             8.91667      0.0390246     8.91667      0             8.91667      0.111343      8.91667      0             
   5.5E+07      4.82738      0.00323766    5.5E+07      0            0             5.5E+07      4.37986      0.00307189    5.5E+07      0            0             5.5E+07      3.81128      0.00524319    5.5E+07      0            0             1.05E+08     586.202       9.08333      0.123553      9.08333      0             9.08333      0.0332485     9.08333      0             9.08333      0.115281      9.08333      0             
   5.6E+07      4.82722      0.00270199    5.6E+07      0            0             5.6E+07      4.37887      0.00271614    5.6E+07      0            0             5.6E+07      3.81365      0.00487582    5.6E+07      0            0             1.06E+08     596.165       9.25         0.123912      9.25         0             9.25         0.0272087     9.25         0             9.25         0.118613      9.25         0             
   5.7E+07      4.82708      0.00231973    5.7E+07      0            0             5.7E+07      4.37594      0.00357299    5.7E+07      0            0             5.7E+07      3.81359      0.00417967    5.7E+07      0            0             1.07E+08     598.256       9.41667      0.124277      9.41667      0             9.41667      0.0213315     9.41667      0             9.41667      0.121411      9.41667      0             
   5.8E+07      4.8236       0.00383358    5.8E+07      0            0             5.8E+07      4.37706      0.00329581    5.8E+07      0            0             5.8E+07      3.81269      0.00375158    5.8E+07      0            0             1.08E+08     611.519       9.58333      0.124536      9.58333      0             9.58333      0.0150642     9.58333      0             9.58333      0.123314      9.58333      0             
   5.9E+07      4.82193      0.00375342    5.9E+07      0            0             5.9E+07      4.37528      0.00337202    5.9E+07      0            0             5.9E+07      3.81174      0.00345296    5.9E+07      0            0             1.09E+08     615.905       9.75         0.124669      9.75         0             9.75         0.00904097    9.75         0             9.75         0.124678      9.75         0             
   6E+07        4.82207      0.0033805     6E+07        0            0             6E+07        4.37722      0.00354495    6E+07        0            0             6E+07        3.81283      0.00327252    6E+07        0            0             1.1E+08      568.935       9.91667      0.124661      9.91667      0             9.91667      0.00309493    9.91667      0             9.91667      0.125214      9.91667      0             
   6.1E+07      4.82256      0.00310883    6.1E+07      0            0             6.1E+07      4.37904      0.00366138    6.1E+07      0            0             6.1E+07      3.81321      0.00299793    6.1E+07      0            0             1.11E+08     580.13        10.0833      0.124626      10.0833      0             10.0833      -0.00303938   10.0833      0             10.0833      0.125262      10.0833      0             
   6.2E+07      4.82295      0.00287369    6.2E+07      0            0             6.2E+07      4.38022      0.00354218    6.2E+07      0            0             6.2E+07      3.81245      0.00284392    6.2E+07      0            0             1.12E+08     593.171       10.25        0.124676      10.25        0             10.25        -0.00918898   10.25        0             10.25        0.124671      10.25        0             
