# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 90 -f Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b90.dat , seed = 4055130847
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b90.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 90, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   2.9E+07      4.85676      0             2.9E+07      0            0             2.9E+07      4.38477      0             2.9E+07      0            0             2.9E+07      3.8215       0             2.9E+07      0            0             7.9E+07      260.383       6.33333      0.123369      6.33333      0             6.33333      0.126916      6.33333      0             6.33333      0.00730536    6.33333      0             
   3E+07        4.83853      0             3E+07        0            0             3E+07        4.39839      0             3E+07        0            0             3E+07        3.81304      0             3E+07        0            0             8E+07        251.439       6.55556      0.12595       6.55556      0             6.55556      0.122269      6.55556      0             6.55556      -0.00672901   6.55556      0             
   3.1E+07      4.81738      0             3.1E+07      0            0             3.1E+07      4.37842      0             3.1E+07      0            0             3.1E+07      3.82302      0             3.1E+07      0            0             8.1E+07      241.601       6.77778      0.127995      6.77778      0             6.77778      0.117004      6.77778      0             6.77778      -0.0211694    6.77778      0             
   3.2E+07      4.80721      0             3.2E+07      0            0             3.2E+07      4.39832      0             3.2E+07      0            0             3.2E+07      3.81018      0             3.2E+07      0            0             8.2E+07      248.296       7            0.130199      7            0             7            0.111225      7            0             7            -0.0348734    7            0             
   3.3E+07      4.82771      0             3.3E+07      0            0             3.3E+07      4.36271      0             3.3E+07      0            0             3.3E+07      3.8061       0             3.3E+07      0            0             8.3E+07      260.848       7.22222      0.132166      7.22222      0             7.22222      0.105061      7.22222      0             7.22222      -0.0484622    7.22222      0             
   3.4E+07      4.83683      0             3.4E+07      0            0             3.4E+07      4.38893      0             3.4E+07      0            0             3.4E+07      3.81858      0             3.4E+07      0            0             8.4E+07      250.598       7.44444      0.133879      7.44444      0             7.44444      0.0983424     7.44444      0             7.44444      -0.0615851    7.44444      0             
   3.5E+07      4.83184      0             3.5E+07      0            0             3.5E+07      4.37072      0             3.5E+07      0            0             3.5E+07      3.7899       0             3.5E+07      0            0             8.5E+07      262.397       7.66667      0.135641      7.66667      0             7.66667      0.091279      7.66667      0             7.66667      -0.0741206    7.66667      0             
   3.6E+07      4.8366       0             3.6E+07      0            0             3.6E+07      4.37862      0             3.6E+07      0            0             3.6E+07      3.80757      0             3.6E+07      0            0             8.6E+07      274.234       7.88889      0.137057      7.88889      0             7.88889      0.0837799     7.88889      0             7.88889      -0.085643     7.88889      0             
   3.7E+07      4.83518      0             3.7E+07      0            0             3.7E+07      4.36544      0             3.7E+07      0            0             3.7E+07      3.80771      0             3.7E+07      0            0             8.7E+07      265.099       8.11111      0.138387      8.11111      0             8.11111      0.0759153     8.11111      0             8.11111      -0.0967635    8.11111      0             
   3.8E+07      4.81454      0             3.8E+07      0            0             3.8E+07      4.34035      0             3.8E+07      0            0             3.8E+07      3.80674      0             3.8E+07      0            0             8.8E+07      266.419       8.33333      0.139787      8.33333      0             8.33333      0.0678025     8.33333      0             8.33333      -0.106999     8.33333      0             
   3.9E+07      4.82846      0             3.9E+07      0            0             3.9E+07      4.39467      0             3.9E+07      0            0             3.9E+07      3.8357       0             3.9E+07      0            0             8.9E+07      275.501       8.55556      0.140791      8.55556      0             8.55556      0.0594107     8.55556      0             8.55556      -0.115991     8.55556      0             
   4E+07        4.82707      0             4E+07        0            0             4E+07        4.39074      0             4E+07        0            0             4E+07        3.82869      0             4E+07        0            0             9E+07        286.17        8.77778      0.141708      8.77778      0             8.77778      0.0506571     8.77778      0             8.77778      -0.123706     8.77778      0             
   4.1E+07      4.81127      0             4.1E+07      0            0             4.1E+07      4.34398      0             4.1E+07      0            0             4.1E+07      3.81884      0             4.1E+07      0            0             9.1E+07      295.794       9            0.142577      9            0             9            0.0418007     9            0             9            -0.13045      9            0             
   4.2E+07      4.81952      0             4.2E+07      0            0             4.2E+07      4.39941      0             4.2E+07      0            0             4.2E+07      3.79933      0             4.2E+07      0            0             9.2E+07      304.42        9.22222      0.143133      9.22222      0             9.22222      0.0329398     9.22222      0             9.22222      -0.1359       9.22222      0             
   4.3E+07      4.8098       0             4.3E+07      0            0             4.3E+07      4.36613      0             4.3E+07      0            0             4.3E+07      3.79877      0             4.3E+07      0            0             9.3E+07      286.376       9.44444      0.143548      9.44444      0             9.44444      0.0234409     9.44444      0             9.44444      -0.139884     9.44444      0             
   4.4E+07      4.82674      0             4.4E+07      0            0             4.4E+07      4.38401      0             4.4E+07      0            0             4.4E+07      3.7962       0             4.4E+07      0            0             9.4E+07      292.554       9.66667      0.143794      9.66667      0             9.66667      0.0142137     9.66667      0             9.66667      -0.14267      9.66667      0             
   4.5E+07      4.82632      0             4.5E+07      0            0             4.5E+07      4.38859      0             4.5E+07      0            0             4.5E+07      3.80571      0             4.5E+07      0            0             9.5E+07      286.878       9.88889      0.144         9.88889      0             9.88889      0.00474644    9.88889      0             9.88889      -0.144331     9.88889      0             
   4.6E+07      4.83208      0             4.6E+07      0            0             4.6E+07      4.38146      0             4.6E+07      0            0             4.6E+07      3.80862      0             4.6E+07      0            0             9.6E+07      296.226       10.1111      0.144133      10.1111      0             10.1111      -0.00479392   10.1111      0             10.1111      -0.144601     10.1111      0             
   4.7E+07      4.81926      0             4.7E+07      0            0             4.7E+07      4.37917      0             4.7E+07      0            0             4.7E+07      3.78135      0             4.7E+07      0            0             9.7E+07      293.85        10.3333      0.143916      10.3333      0             10.3333      -0.0140416    10.3333      0             10.3333      -0.143047     10.3333      0             
   4.8E+07      4.82225      0             4.8E+07      0            0             4.8E+07      4.37183      0             4.8E+07      0            0             4.8E+07      3.81677      0             4.8E+07      0            0             9.8E+07      303.147       10.5556      0.143838      10.5556      0             10.5556      -0.0233447    10.5556      0             10.5556      -0.140637     10.5556      0             
   4.9E+07      4.85066      0             4.9E+07      0            0             4.9E+07      4.39505      0             4.9E+07      0            0             4.9E+07      3.82096      0             4.9E+07      0            0             9.9E+07      312.29        10.7778      0.143242      10.7778      0             10.7778      -0.0326815    10.7778      0             10.7778      -0.136407     10.7778      0             
   5E+07        4.83951      0             5E+07        0            0             5E+07        4.40955      0             5E+07        0            0             5E+07        3.82593      0             5E+07        0            0             1E+08        315.493       11           0.142733      11           0             11           -0.0418146    11           0             11           -0.131195     11           0             
   5.1E+07      4.83107      0             5.1E+07      0            0             5.1E+07      4.37852      0             5.1E+07      0            0             5.1E+07      3.79594      0             5.1E+07      0            0             1.01E+08     321.749       11.2222      0.141936      11.2222      0             11.2222      -0.0507253    11.2222      0             11.2222      -0.124371     11.2222      0             
   5.2E+07      4.83471      0.00257181    5.2E+07      0            0             5.2E+07      4.38138      0.00201994    5.2E+07      0            0             5.2E+07      3.79419      0.00124098    5.2E+07      0            0             1.02E+08     326.397       11.4444      0.141158      11.4444      0             11.4444      -0.0593573    11.4444      0             11.4444      -0.116575     11.4444      0             
   5.3E+07      4.83948      0.00425257    5.3E+07      0            0             5.3E+07      4.38121      0.00135351    5.3E+07      0            0             5.3E+07      3.80235      0.00671902    5.3E+07      0            0             1.03E+08     334.805       11.6667      0.139989      11.6667      0             11.6667      -0.0677193    11.6667      0             11.6667      -0.107697     11.6667      0             
   5.4E+07      4.83532      0.0048058     5.4E+07      0            0             5.4E+07      4.38041      0.00123274    5.4E+07      0            0             5.4E+07      3.80723      0.00657575    5.4E+07      0            0             1.04E+08     343.605       11.8889      0.138824      11.8889      0             11.8889      -0.0759169    11.8889      0             11.8889      -0.0975131    11.8889      0             
   5.5E+07      4.83848      0.00476757    5.5E+07      0            0             5.5E+07      4.37893      0.00164734    5.5E+07      0            0             5.5E+07      3.81216      0.00686524    5.5E+07      0            0             1.05E+08     351.754       12.1111      0.137529      12.1111      0             12.1111      -0.0836354    12.1111      0             12.1111      -0.0866724    12.1111      0             
   5.6E+07      4.83632      0.00443399    5.6E+07      0            0             5.6E+07      4.38021      0.00180226    5.6E+07      0            0             5.6E+07      3.81327      0.00580938    5.6E+07      0            0             1.06E+08     347.545       12.3333      0.135869      12.3333      0             12.3333      -0.0909971    12.3333      0             12.3333      -0.0748348    12.3333      0             
   5.7E+07      4.83734      0.00391719    5.7E+07      0            0             5.7E+07      4.38082      0.00164601    5.7E+07      0            0             5.7E+07      3.81191      0.00513549    5.7E+07      0            0             1.07E+08     356.046       12.5556      0.134208      12.5556      0             12.5556      -0.0981981    12.5556      0             12.5556      -0.0622691    12.5556      0             
   5.8E+07      4.83453      0.00432289    5.8E+07      0            0             5.8E+07      4.38064      0.0014506     5.8E+07      0            0             5.8E+07      3.81085      0.00460261    5.8E+07      0            0             1.08E+08     364.053       12.7778      0.132428      12.7778      0             12.7778      -0.10481      12.7778      0             12.7778      -0.0491266    12.7778      0             
   5.9E+07      4.83298      0.00411027    5.9E+07      0            0             5.9E+07      4.38174      0.00165787    5.9E+07      0            0             5.9E+07      3.81239      0.004343      5.9E+07      0            0             1.09E+08     366.02        13           0.130444      13           0             13           -0.111016     13           0             13           -0.0353792    13           0             
   6E+07        4.83371      0.00376322    6E+07        0            0             6E+07        4.38219      0.00155087    6E+07        0            0             6E+07        3.81421      0.00427115    6E+07        0            0             1.1E+08      364.091       13.2222      0.128375      13.2222      0             13.2222      -0.116931     13.2222      0             13.2222      -0.0215824    13.2222      0             
   6.1E+07      4.83271      0.00355165    6.1E+07      0            0             6.1E+07      4.38396      0.00219752    6.1E+07      0            0             6.1E+07      3.81238      0.00425737    6.1E+07      0            0             1.11E+08     358.256       13.4444      0.126193      13.4444      0             13.4444      -0.122067     13.4444      0             13.4444      -0.00739635   13.4444      0             
   6.2E+07      4.83468      0.00376542    6.2E+07      0            0             6.2E+07      4.38388      0.00201588    6.2E+07      0            0             6.2E+07      3.81323      0.00398799    6.2E+07      0            0             1.12E+08     366.627       13.6667      0.123722      13.6667      0             13.6667      -0.126719     13.6667      0             13.6667      0.00668927    13.6667      0             
   6.3E+07      4.83436      0.00348983    6.3E+07      0            0             6.3E+07      4.38508      0.00219142    6.3E+07      0            0             6.3E+07      3.81279      0.00370555    6.3E+07      0            0             1.13E+08     358.698       13.8889      0.121324      13.8889      0             13.8889      -0.131026     13.8889      0             13.8889      0.0207882     13.8889      0             
   6.4E+07      4.83441      0.0032409     6.4E+07      0            0             6.4E+07      4.38354      0.00252118    6.4E+07      0            0             6.4E+07      3.81151      0.00365511    6.4E+07      0            0             1.14E+08     366.219       14.1111      0.118633      14.1111      0             14.1111      -0.134609     14.1111      0             14.1111      0.0347582     14.1111      0             
   6.5E+07      4.83305      0.00329662    6.5E+07      0            0             6.5E+07      4.38327      0.00236726    6.5E+07      0            0             6.5E+07      3.81149      0.00341153    6.5E+07      0            0             1.15E+08     373.496       14.3333      0.115917      14.3333      0             14.3333      -0.137585     14.3333      0             14.3333      0.0485565     14.3333      0             
   6.6E+07      4.8303       0.00407794    6.6E+07      0            0             6.6E+07      4.3824       0.00237291    6.6E+07      0            0             6.6E+07      3.81214      0.00326105    6.6E+07      0            0             1.16E+08     379.762       14.5556      0.113172      14.5556      0             14.5556      -0.139956     14.5556      0             14.5556      0.0618404     14.5556      0             
   6.7E+07      4.83067      0.00385493    6.7E+07      0            0             6.7E+07      4.38321      0.002368      6.7E+07      0            0             6.7E+07      3.81165      0.00310624    6.7E+07      0            0             1.17E+08     385.722       14.7778      0.110204      14.7778      0             14.7778      -0.141968     14.7778      0             14.7778      0.0742591     14.7778      0             
   6.8E+07      4.82953      0.00380675    6.8E+07      0            0             6.8E+07      4.38316      0.00223695    6.8E+07      0            0             6.8E+07      3.81272      0.00311359    6.8E+07      0            0             1.18E+08     393.732       15           0.107116      15           0             15           -0.143208     15           0             15           0.0861553     15           0             
   6.9E+07      4.82819      0.00383356    6.9E+07      0            0             6.9E+07      4.38176      0.00252399    6.9E+07      0            0             6.9E+07      3.81263      0.00295121    6.9E+07      0            0             1.19E+08     400.678       15.2222      0.103918      15.2222      0             15.2222      -0.143919     15.2222      0             15.2222      0.0972968     15.2222      0             
