# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 3250 --active 1250 --seed 0 --bins 300 --run --tracks\n 1000000 -f Symmetric.Power-2.dat , seed = 1306049843
# Arguments: source = Bank, run = true, filename = Symmetric.Power-2.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 3250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   5E+07        0.424714     0             5E+07        0.424714      5E+07        3.57032       5E+07        135.536       3.3E+09      18791.8       1.485        0             
   5.1E+07      0.423936     0             5.1E+07      0.423936      5.1E+07      3.57147       5.1E+07      138.254       3.301E+09    19534         1.515        0             
   5.2E+07      0.424461     0             5.2E+07      0.424461      5.2E+07      3.57179       5.2E+07      140.949       3.302E+09    17648         1.545        0             
   5.3E+07      0.424407     0             5.3E+07      0.424407      5.3E+07      3.57168       5.3E+07      143.669       3.303E+09    17647.9       1.575        0             
   5.4E+07      0.425341     0             5.4E+07      0.425341      5.4E+07      3.57346       5.4E+07      146.379       3.304E+09    17986.9       1.605        0             
   5.5E+07      0.42428      0             5.5E+07      0.42428       5.5E+07      3.57369       5.5E+07      149.06        3.305E+09    18646.8       1.635        0             
   5.6E+07      0.423477     0             5.6E+07      0.423477      5.6E+07      3.57498       5.6E+07      151.788       3.306E+09    19089.4       1.665        0             
   5.7E+07      0.424327     0             5.7E+07      0.424327      5.7E+07      3.57709       5.7E+07      154.488       3.307E+09    19770.7       1.695        0             
   5.8E+07      0.424984     0             5.8E+07      0.424984      5.8E+07      3.5776        5.8E+07      157.194       3.308E+09    20225.5       1.725        0             
   5.9E+07      0.424146     0             5.9E+07      0.424146      5.9E+07      3.57849       5.9E+07      159.932       3.309E+09    20602         1.755        0             
   6E+07        0.424131     0             6E+07        0.424131      6E+07        3.58094       6E+07        162.637       3.31E+09     21125.3       1.785        0             
   6.1E+07      0.424491     0             6.1E+07      0.424491      6.1E+07      3.58085       6.1E+07      165.345       3.311E+09    21456.8       1.815        0             
   6.2E+07      0.424226     0             6.2E+07      0.424226      6.2E+07      3.58025       6.2E+07      168.032       3.312E+09    22155.8       1.845        0             
   6.3E+07      0.423916     0             6.3E+07      0.423916      6.3E+07      3.58013       6.3E+07      170.763       3.313E+09    22816.3       1.875        0             
   6.4E+07      0.422988     0             6.4E+07      0.422988      6.4E+07      3.58142       6.4E+07      173.502       3.314E+09    23444.5       1.905        0             
   6.5E+07      0.424204     0             6.5E+07      0.424204      6.5E+07      3.58151       6.5E+07      176.219       3.315E+09    23217.8       1.935        0             
   6.6E+07      0.424651     0             6.6E+07      0.424651      6.6E+07      3.58321       6.6E+07      178.984       3.316E+09    23610.9       1.965        0             
   6.7E+07      0.424105     0             6.7E+07      0.424105      6.7E+07      3.58397       6.7E+07      181.678       3.317E+09    23808.5       1.995        0             
   6.8E+07      0.424005     0             6.8E+07      0.424005      6.8E+07      3.5841        6.8E+07      184.4         3.318E+09    24497.3       2.025        0             
   6.9E+07      0.423989     0             6.9E+07      0.423989      6.9E+07      3.58576       6.9E+07      187.117       3.319E+09    24138.6       2.055        0             
   7E+07        0.422819     0             7E+07        0.422819      7E+07        3.58649       7E+07        189.843       3.32E+09     23647.3       2.085        0             
   7.1E+07      0.423953     0             7.1E+07      0.423953      7.1E+07      3.58662       7.1E+07      192.544       3.321E+09    24097.2       2.115        0             
   7.2E+07      0.42528      0             7.2E+07      0.42528       7.2E+07      3.58694       7.2E+07      195.214       3.322E+09    24606.6       2.145        0             
   7.3E+07      0.424274     0             7.3E+07      0.424274      7.3E+07      3.58724       7.3E+07      197.951       3.323E+09    25123.4       2.175        0             
   7.4E+07      0.424578     0             7.4E+07      0.424578      7.4E+07      3.58769       7.4E+07      200.648       3.324E+09    25800.1       2.205        0             
   7.5E+07      0.425199     0             7.5E+07      0.425199      7.5E+07      3.58755       7.5E+07      203.355       3.325E+09    26184.8       2.235        0             
   7.6E+07      0.424328     0             7.6E+07      0.424328      7.6E+07      3.58908       7.6E+07      205.995       3.326E+09    26690.6       2.265        0             
   7.7E+07      0.425172     0             7.7E+07      0.425172      7.7E+07      3.58959       7.7E+07      208.597       3.327E+09    27276.9       2.295        0             
   7.8E+07      0.424473     0             7.8E+07      0.424473      7.8E+07      3.59118       7.8E+07      211.197       3.328E+09    27955.7       2.325        0             
   7.9E+07      0.42447      0             7.9E+07      0.42447       7.9E+07      3.59199       7.9E+07      213.799       3.329E+09    28015.5       2.355        0             
   8E+07        0.423656     0             8E+07        0.423656      8E+07        3.59206       8E+07        216.398       3.33E+09     28720.3       2.385        0             
   8.1E+07      0.424659     0             8.1E+07      0.424659      8.1E+07      3.59374       8.1E+07      218.99        3.331E+09    29396.2       2.415        0             
   8.2E+07      0.423606     0             8.2E+07      0.423606      8.2E+07      3.59372       8.2E+07      221.586       3.332E+09    30115.4       2.445        0             
   8.3E+07      0.425298     0             8.3E+07      0.425298      8.3E+07      3.59435       8.3E+07      224.167       3.333E+09    29748.5       2.475        0             
   8.4E+07      0.424574     0             8.4E+07      0.424574      8.4E+07      3.59504       8.4E+07      226.769       3.334E+09    30390.8       2.505        0             
   8.5E+07      0.423437     0             8.5E+07      0.423437      8.5E+07      3.59708       8.5E+07      229.379       3.335E+09    30378.7       2.535        0             
   8.6E+07      0.423346     0             8.6E+07      0.423346      8.6E+07      3.59781       8.6E+07      232.006       3.336E+09    30954.9       2.565        0             
   8.7E+07      0.424171     0             8.7E+07      0.424171      8.7E+07      3.59839       8.7E+07      234.642       3.337E+09    31643         2.595        0             
   8.8E+07      0.42455      0             8.8E+07      0.42455       8.8E+07      3.59932       8.8E+07      237.283       3.338E+09    32298.7       2.625        0             
   8.9E+07      0.423895     0             8.9E+07      0.423895      8.9E+07      3.60093       8.9E+07      239.888       3.339E+09    32650         2.655        0             
   9E+07        0.42378      0             9E+07        0.42378       9E+07        3.60146       9E+07        242.548       3.34E+09     33330.1       2.685        0             
