# This file was created by gnuFile.py version  $Revision: 632 $ on Wed Aug 19 00:57:54 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 192-236.adsl.umnet.umich.edu$ ProcessVectors.py
# This data was taken from the file: Symmetric.Power-2.dat, and Symmetric.Arnoldi.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10            11           12            13           14            15           16           
# |-    Sym-Arnoldi-1     -| |-    Sym-Arnoldi-0     -| |-      Asym-Power      -| |-    Asym-Arnoldi-1    -| |-    Asym-Arnoldi-0    -| |-    Sym2-Arnoldi-0    -| |-    Sym2-Arnoldi-1    -| |-      Sym-Power       -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   2.205        0             2.205        0             2.2075       0             2.2075       0             2.2075       0             2.205        -0            2.205        0             2.205        0            
   2.235        0             2.235        0             2.2375       0             2.2375       0             2.2375       0             2.235        -0            2.235        0             2.235        0            
   2.265        0             2.265        0             2.2675       0             2.2675       0             2.2675       0             2.265        -0            2.265        0             2.265        0            
   2.295        0             2.295        0             2.2976       0             2.2976       0             2.2976       0             2.295        -0            2.295        0             2.295        0            
   2.325        0             2.325        0             2.3276       0             2.3276       0             2.3276       0             2.325        -0            2.325        0             2.325        0            
   2.355        0             2.355        0             2.3576       0             2.3576       0             2.3576       0             2.355        -0            2.355        0             2.355        0            
   2.385        0             2.385        0             2.3876       0             2.3876       0             2.3876       0             2.385        -0            2.385        0             2.385        0            
   2.415        0             2.415        0             2.4177       0             2.4177       0             2.4177       0             2.415        -0            2.415        0             2.415        0            
   2.445        0             2.445        0             2.4477       0             2.4477       0             2.4477       0             2.445        -0            2.445        0             2.445        0            
   2.475        0             2.475        0             2.4777       0             2.4777       0             2.4777       0             2.475        -0            2.475        0             2.475        0            
   2.505        0             2.505        0             2.5078       0             2.5078       0             2.5078       0             2.505        -0            2.505        0             2.505        0            
   2.535        0             2.535        0             2.5378       0             2.5378       0             2.5378       0             2.535        -0            2.535        0             2.535        0            
   2.565        0             2.565        0             2.5678       0             2.5678       0             2.5678       0             2.565        -0            2.565        0             2.565        0            
   2.595        0             2.595        0             2.5979       0             2.5979       0             2.5979       0             2.595        -0            2.595        0             2.595        0            
   2.625        0             2.625        0             2.6279       0             2.6279       0             2.6279       0             2.625        -0            2.625        0             2.625        0            
   2.655        0             2.655        0             2.658        0             2.658        0             2.658        0             2.655        -0            2.655        0             2.655        0            
   2.685        0             2.685        0             2.688        0             2.688        0             2.688        0             2.685        -0            2.685        0             2.685        0            
   2.715        0             2.715        0             2.718        0             2.718        0             2.718        0             2.715        -0            2.715        0             2.715        0            
   2.745        0             2.745        0             2.7481       0             2.7481       0             2.7481       0             2.745        -0            2.745        0             2.745        0            
   2.775        0             2.775        0             2.7781       0             2.7781       0             2.7781       0             2.775        -0            2.775        0             2.775        0            
   2.805        0             2.805        0             2.8081       0             2.8081       0             2.8081       0             2.805        -0            2.805        0             2.805        0            
   2.835        0             2.835        0             2.8382       0             2.8382       0             2.8382       0             2.835        -0            2.835        0             2.835        0            
   2.865        0             2.865        0             2.8682       0             2.8682       0             2.8682       0             2.865        -0            2.865        0             2.865        0            
   2.895        0             2.895        0             2.8982       0             2.8982       0             2.8982       0             2.895        -0            2.895        0             2.895        0            
   2.925        0             2.925        0             2.9282       0             2.9282       0             2.9282       0             2.925        -0            2.925        0             2.925        0            
   2.955        0             2.955        0             2.9583       0             2.9583       0             2.9583       0             2.955        -0            2.955        0             2.955        0            
   2.985        0             2.985        0             2.9883       0             2.9883       0             2.9883       0             2.985        -0            2.985        0             2.985        0            
   3.015        0             3.015        0             3.0183       0             3.0183       0             3.0183       0             3.015        -0            3.015        0             3.015        0            
   3.045        0             3.045        0             3.0484       0             3.0484       0             3.0484       0             3.045        -0            3.045        0             3.045        0            
   3.075        0             3.075        0             3.0784       0             3.0784       0             3.0784       0             3.075        -0            3.075        0             3.075        0            
   3.105        0             3.105        0             3.1084       0             3.1084       0             3.1084       0             3.105        -0            3.105        0             3.105        0            
   3.135        0             3.135        0             3.1385       0             3.1385       0             3.1385       0             3.135        -0            3.135        0             3.135        0            
   3.165        0             3.165        0             3.1685       0             3.1685       0             3.1685       0             3.165        -0            3.165        0             3.165        0            
   3.195        0             3.195        0             3.1986       0             3.1986       0             3.1986       0             3.195        -0            3.195        0             3.195        0            
   3.225        0             3.225        0             3.2286       0             3.2286       0             3.2286       0             3.225        -0            3.225        0             3.225        0            
   3.255        0             3.255        0             3.2586       0             3.2586       0             3.2586       0             3.255        -0            3.255        0             3.255        0            
   3.285        0             3.285        0             3.2887       0             3.2887       0             3.2887       0             3.285        -0            3.285        0             3.285        0            
   3.315        0             3.315        0             3.3187       0             3.3187       0             3.3187       0             3.315        -0            3.315        0             3.315        0            
   3.345        0             3.345        0             3.3487       0             3.3487       0             3.3487       0             3.345        -0            3.345        0             3.345        0            
   3.375        0             3.375        0             3.3788       0             3.3788       0             3.3788       0             3.375        -0            3.375        0             3.375        0            
   3.405        0             3.405        0             3.4088       0             3.4088       0             3.4088       0             3.405        -0            3.405        0             3.405        0            
   3.435        0             3.435        0             3.4388       0             3.4388       0             3.4388       0             3.435        -0            3.435        0             3.435        0            
   3.465        0             3.465        0             3.4689       0             3.4689       0             3.4689       0             3.465        -0            3.465        0             3.465        0            
   3.495        0             3.495        0             3.4989       0             3.4989       0             3.4989       0             3.495        -0            3.495        0             3.495        0            
   3.525        0             3.525        0             3.5289       0             3.5289       0             3.5289       0             3.525        -0            3.525        0             3.525        0            
   3.555        0             3.555        0             3.5589       0             3.5589       0             3.5589       0             3.555        -0            3.555        0             3.555        0            
   3.585        0             3.585        0             3.589        0             3.589        0             3.589        0             3.585        -0            3.585        0             3.585        0            
   3.615        0             3.615        0             3.619        0             3.619        0             3.619        0             3.615        -0            3.615        0             3.615        0            
   3.645        0             3.645        0             3.649        0             3.649        0             3.649        0             3.645        -0            3.645        0             3.645        0            
   3.675        0             3.675        0             3.6791       0             3.6791       0             3.6791       0             3.675        -0            3.675        0             3.675        0            
   3.705        0             3.705        0             3.7091       0             3.7091       0             3.7091       0             3.705        -0            3.705        0             3.705        0            
   3.735        0             3.735        0             3.7391       0             3.7391       0             3.7391       0             3.735        -0            3.735        0             3.735        0            
   3.765        0             3.765        0             3.7692       0             3.7692       0             3.7692       0             3.765        -0            3.765        0             3.765        0            
   3.795        0             3.795        0             3.7992       0             3.7992       0             3.7992       0             3.795        -0            3.795        0             3.795        0            
   3.825        0             3.825        0             3.8293       0             3.8293       0             3.8293       0             3.825        -0            3.825        0             3.825        0            
   3.855        0             3.855        0             3.8593       0             3.8593       0             3.8593       0             3.855        -0            3.855        0             3.855        0            
   3.885        0             3.885        0             3.8893       0             3.8893       0             3.8893       0             3.885        -0            3.885        0             3.885        0            
   3.915        0             3.915        0             3.9194       0             3.9194       0             3.9194       0             3.915        -0            3.915        0             3.915        0            
   3.945        0             3.945        0             3.9494       0             3.9494       0             3.9494       0             3.945        -0            3.945        0             3.945        0            
   3.975        0             3.975        0             3.9794       0             3.9794       0             3.9794       0             3.975        -0            3.975        0             3.975        0            
   4.005        0             4.005        0             4.0095       0             4.0095       0             4.0095       0             4.005        -0            4.005        0             4.005        0            
   4.035        0             4.035        0             4.0395       0             4.0395       0             4.0395       0             4.035        -0            4.035        0             4.035        0            
   4.065        0             4.065        0             4.0695       0             4.0695       0             4.0695       0             4.065        -0            4.065        0             4.065        0            
   4.095        0             4.095        0             4.0995       0             4.0995       0             4.0995       0             4.095        -0            4.095        0             4.095        0            
   4.125        0             4.125        0             4.1296       0             4.1296       0             4.1296       0             4.125        -0            4.125        0             4.125        0            
   4.155        0             4.155        0             4.1596       0             4.1596       0             4.1596       0             4.155        -0            4.155        0             4.155        0            
   4.185        0             4.185        0             4.1897       0             4.1897       0             4.1897       0             4.185        -0            4.185        0             4.185        0            
   4.215        0             4.215        0             4.2197       0             4.2197       0             4.2197       0             4.215        -0            4.215        0             4.215        0            
   4.245        0             4.245        0             4.2497       0             4.2497       0             4.2497       0             4.245        -0            4.245        0             4.245        0            
   4.275        0             4.275        0             4.2797       0             4.2797       0             4.2797       0             4.275        -0            4.275        0             4.275        0            
   4.305        0             4.305        0             4.3098       0             4.3098       0             4.3098       0             4.305        -0            4.305        0             4.305        0            
   4.335        0             4.335        0             4.3398       0             4.3398       0             4.3398       0             4.335        -0            4.335        0             4.335        0            
   4.365        0             4.365        0             4.3698       0             4.3698       0             4.3698       0             4.365        -0            4.365        0             4.365        0            
   4.395        0             4.395        0             4.3999       0             4.3999       0             4.3999       0             4.395        -0            4.395        0             4.395        0            
   4.425        0             4.425        0             4.4299       0             4.4299       0             4.4299       0             4.425        -0            4.425        0             4.425        0            
   4.455        0             4.455        0             4.46         0             4.46         0             4.46         0             4.455        -0            4.455        0             4.455        0            
   4.485        0             4.485        0             4.49         0             4.49         0             4.49         0             4.485        -0            4.485        0             4.485        0            
   4.515        0             4.515        0             4.52         0             4.52         0             4.52         0             4.515        -0            4.515        0             4.515        0            
   4.545        0             4.545        0             4.55         0             4.55         0             4.55         0             4.545        -0            4.545        0             4.545        0            
   4.575        0             4.575        0             4.5801       0             4.5801       0             4.5801       0             4.575        -0            4.575        0             4.575        0            
   4.605        0             4.605        0             4.6101       0             4.6101       0             4.6101       0             4.605        -0            4.605        0             4.605        0            
   4.635        0             4.635        0             4.6402       0             4.6402       0             4.6402       0             4.635        -0            4.635        0             4.635        0            
   4.665        0             4.665        0             4.6702       0             4.6702       0             4.6702       0             4.665        -0            4.665        0             4.665        0            
   4.695        0             4.695        0             4.7002       0             4.7002       0             4.7002       0             4.695        -0            4.695        0             4.695        0            
   4.725        0             4.725        0             4.7302       0             4.7302       0             4.7302       0             4.725        -0            4.725        0             4.725        0            
   4.755        0             4.755        0             4.7603       0             4.7603       0             4.7603       0             4.755        -0            4.755        0             4.755        0            
   4.785        0             4.785        0             4.7903       0             4.7903       0             4.7903       0             4.785        -0            4.785        0             4.785        0            
   4.815        0             4.815        0             4.8204       0             4.8204       0             4.8204       0             4.815        -0            4.815        0             4.815        0            
   4.845        0             4.845        0             4.8504       0             4.8504       0             4.8504       0             4.845        -0            4.845        0             4.845        0            
   4.875        0             4.875        0             4.8804       0             4.8804       0             4.8804       0             4.875        -0            4.875        0             4.875        0            
   4.905        0             4.905        0             4.9104       0             4.9104       0             4.9104       0             4.905        -0            4.905        0             4.905        0            
