# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 1250 --seed 0 --bins 300 --run --tracks 1000000\n -f Multimedia/Tracks/PowerEntropy.t1000000.dat , seed = 2017739346
# Arguments: source = Bank, run = true, filename = Multimedia/Tracks/PowerEntropy.t1000000.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 1250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.48E+08     0.424575     0             1.48E+08     0.424575      1.48E+08     3.64498       1.48E+08     385.095       1.398E+09    119290        4.425        0             
   1.49E+08     0.423612     0             1.49E+08     0.423612      1.49E+08     3.64715       1.49E+08     387.69        1.399E+09    119999        4.455        0             
   1.5E+08      0.42498      0             1.5E+08      0.42498       1.5E+08      3.64851       1.5E+08      390.303       1.4E+09      119544        4.485        0             
   1.51E+08     0.424147     0             1.51E+08     0.424147      1.51E+08     3.64935       1.51E+08     392.926       1.401E+09    120767        4.515        0             
   1.52E+08     0.424827     0             1.52E+08     0.424827      1.52E+08     3.65033       1.52E+08     395.565       1.402E+09    121720        4.545        0             
   1.53E+08     0.425062     0             1.53E+08     0.425062      1.53E+08     3.65305       1.53E+08     398.177       1.403E+09    120598        4.575        0             
   1.54E+08     0.423761     0             1.54E+08     0.423761      1.54E+08     3.65536       1.54E+08     400.807       1.404E+09    121911        4.605        0             
   1.55E+08     0.424425     0             1.55E+08     0.424425      1.55E+08     3.65754       1.55E+08     403.433       1.405E+09    121145        4.635        0             
   1.56E+08     0.424699     0             1.56E+08     0.424699      1.56E+08     3.6587        1.56E+08     406.012       1.406E+09    122083        4.665        0             
   1.57E+08     0.42469      0             1.57E+08     0.42469       1.57E+08     3.65904       1.57E+08     408.587       1.407E+09    123259        4.695        0             
   1.58E+08     0.423206     0             1.58E+08     0.423206      1.58E+08     3.65945       1.58E+08     411.178       1.408E+09    124745        4.725        0             
   1.59E+08     0.424565     0             1.59E+08     0.424565      1.59E+08     3.66051       1.59E+08     413.752       1.409E+09    126059        4.755        0             
   1.6E+08      0.424468     0             1.6E+08      0.424468      1.6E+08      3.6615        1.6E+08      416.368       1.41E+09     127267        4.785        0             
   1.61E+08     0.424263     0             1.61E+08     0.424263      1.61E+08     3.66123       1.61E+08     418.983       1.411E+09    128751        4.815        0             
   1.62E+08     0.425097     0             1.62E+08     0.425097      1.62E+08     3.66198       1.62E+08     421.604       1.412E+09    127552        4.845        0             
